Source,Target,Weight
acquiredÂ immuno-deficiency syndrome,hypotonic,350
acquiredÂ immuno-deficiency syndrome,productive cough,350
hiv infections,tachypnea,350
hiv infections,patient non compliance,350
benign prostatic hypertrophy,patient non compliance,349
anxiety state,monoclonal,349
anxiety state,ascites,348
transient ischemic attack,projectile vomiting,348
exanthema,consciousness clear,348
dementia,hunger,347
kidney failure acute,asthenia,345
exanthema,rale,345
carcinoma,abdominal tenderness,344
neoplasm,blackout,344
cirrhosis,headache,344
HIV,hoarseness,344
exanthema,night sweat,342
cellulitis,chill,341
cellulitis,hypesthesia,341
cellulitis,patient non compliance,341
cellulitis,pruritus,341
cellulitis,hyperacusis,341
cellulitis,scratch marks,341
cellulitis,pain,341
cellulitis,erythema,341
ischemia,shortness of breath,341
dehydration,shortness of breath,341
cellulitis,swelling,341
cellulitis,abscess bacterial,341
cellulitis,fever,341
cellulitis,redness,341
bipolar disorder,lethargy,340
ischemia,facial paresis,339
peripheral vascular disease,sore to touch,339
bipolar disorder,productive cough,339
osteoporosis,mass of body structure,339
cirrhosis,pain,338
paroxysmalÂ dyspnea,achalasia,338
psychotic disorder,fever,337
gastroesophageal reflux disease,redness,336
hemiparesis,pleuritic pain,335
chronic kidney failure,sweating increased,335
cardiomyopathy,mental status changes,334
hepatitis C,breath sounds decreased,334
hepatitis B,diarrhea,333
bronchitis,night sweat,333
peripheral vascular disease,chest tightness,331
bipolar disorder,haemorrhage,331
PneumocystisÂ cariniiÂ pneumonia,feeling hopeless,331
peripheral vascular disease,clonus,331
neoplasm,dyspnea,331
deep vein thrombosis,sweating increased,330
gastroesophageal reflux disease,cushingoidÂ habitus,330
ulcer peptic,paresthesia,330
HIV,pain chest,329
colitis,chill,329
obesity,photophobia,328
psychotic disorder,neck stiffness,328
dehydration,apyrexial,327
cellulitis,fremitus,327
glaucoma,hematuria,326
ulcer peptic,dyspnea,326
acquiredÂ immuno-deficiency syndrome,constipation,326
gastroesophageal reflux disease,burning sensation,325
gastroesophageal reflux disease,pain,325
gastroesophageal reflux disease,heartburn,325
gastroesophageal reflux disease,sweat,325
gastroesophageal reflux disease,hyponatremia,325
bipolar disorder,cyanosis,325
benign prostatic hypertrophy,diarrhea,325
gastroesophageal reflux disease,sweating increased,325
bronchitis,verbal auditory hallucinations,325
gastroesophageal reflux disease,satiety early,325
gastroesophageal reflux disease,constipation,325
gastroesophageal reflux disease,throbbing sensation quality,325
gastroesophageal reflux disease,sensory discomfort,325
gastroesophageal reflux disease,palpitation,325
gastroesophageal reflux disease,nausea,325
gastroesophageal reflux disease,presence of q wave,325
gastroesophageal reflux disease,chest tightness,325
gastroesophageal reflux disease,general discomfort,325
anxiety state,weight gain,324
deep vein thrombosis,agitation,324
obesity,tumor cell invasion,324
dehydration,decompensation,324
cirrhosis,urinary hesitation,323
gastroesophageal reflux disease,hypotension,323
carcinoma,tumor cell invasion,322
diverticulitis,pain chest,322
mitral valve insufficiency,haemorrhage,322
peripheral vascular disease,headache,322
gastroesophageal reflux disease,polymyalgia,322
carcinoma,wheezing,320
psychotic disorder,jugular venous distention,320
epilepsy,dyspnea,319
septicemia,apyrexial,319
embolism pulmonary,dyspnea,319
upper respiratory infection,labored breathing,319
chronic kidney failure,sore to touch,319
adenocarcinoma,hypotension,318
dehydration,dyspnea,318
pancreatitis,hemodynamically stable,317
adenocarcinoma,worry,316
edema pulmonary,general discomfort,316
gastroesophageal reflux disease,shortness of breath,315
cardiomyopathy,fall,315
bronchitis,yellow sputum,315
acquiredÂ immuno-deficiency syndrome,polyuria,314
ischemia,worry,314
carcinoma prostate,sweat,314
cellulitis,qt interval prolonged,313
hemiparesis,hyperkalemia,313
deep vein thrombosis,hypotension,313
embolism pulmonary,clonus,312
malignant neoplasms,sweating increased,312
paroxysmalÂ dyspnea,indifferent mood,312
pancreatitis,feeling suicidal,312
septicemia,fever,311
septicemia,rale,311
sepsis (invertebrate),breech presentation,311
sepsis (invertebrate),unresponsiveness,311
sepsis (invertebrate),cyanosis,311
systemic infection,fever,311
septicemia,unresponsiveness,311
septicemia,lethargy,311
septicemia,haemorrhage,311
systemic infection,apyrexial,311
systemic infection,rale,311
sepsis (invertebrate),hypotension,311
sepsis (invertebrate),distress respiratory,311
sepsis (invertebrate),tachypnea,311
systemic infection,spontaneous rupture of membranes,311
systemic infection,cyanosis,311
systemic infection,tachypnea,311
systemic infection,hypotension,311
systemic infection,distress respiratory,311
systemic infection,unresponsiveness,311
systemic infection,haemorrhage,311
sepsis (invertebrate),spontaneous rupture of membranes,311
systemic infection,chill,311
systemic infection,bradycardia,311
systemic infection,lethargy,311
systemic infection,breech presentation,311
septicemia,tachypnea,311
septicemia,hypotension,311
sepsis (invertebrate),lethargy,311
septicemia,chill,311
sepsis (invertebrate),chill,311
septicemia,breech presentation,311
septicemia,bradycardia,311
septicemia,cyanosis,311
septicemia,spontaneous rupture of membranes,311
sepsis (invertebrate),bradycardia,311
sepsis (invertebrate),rale,311
sepsis (invertebrate),haemorrhage,311
sepsis (invertebrate),apyrexial,311
diverticulitis,formication,310
deep vein thrombosis,clonus,310
deep vein thrombosis,redness,310
anxiety state,night sweat,310
deep vein thrombosis,shortness of breath,310
deep vein thrombosis,pain in lower limb,310
deep vein thrombosis,ecchymosis,310
deep vein thrombosis,pain,310
deep vein thrombosis,erythema,310
deep vein thrombosis,cardiomegaly,310
deep vein thrombosis,rale,310
bacteremia,unsteady gait,310
deep vein thrombosis,swelling,310
deep vein thrombosis,non-productive cough,310
psychotic disorder,scratch marks,309
sepsis (invertebrate),vertigo,308
systemic infection,sweating increased,307
lymphatic diseases,hemiplegia,306
hemiparesis,decreased body weight,306
psychotic disorder,dizzy spells,306
septicemia,dizziness,306
adenocarcinoma,hypesthesia,306
hepatitis C,asterixis,305
exanthema,nausea,305
obesity,pain abdominal,304
upper respiratory infection,pressure chest,303
cellulitis,speech slurred,303
incontinence,shortness of breath,302
neoplasm,speech slurred,301
sepsis (invertebrate),heavy legs,301
diverticulitis,guaiac positive,301
gastroesophageal reflux disease,dysarthria,301
paranoia,mental status changes,301
psychotic disorder,chill,300
upper respiratory infection,abscess bacterial,300
septicemia,nausea,300
malignant neoplasm of prostate,agitation,300
hyperlipidemia,alcoholic withdrawal symptoms,300
bronchitis,feeling suicidal,299
hyperlipidemia,non-productive cough,299
upper respiratory infection,rale,299
hiv infections,dyspareunia,299
bipolar disorder,angina pectoris,298
bronchitis,abdominal tenderness,298
hernia,asthenia,298
psychotic disorder,breath sounds decreased,298
dehydration,unwell,297
epilepsy,fall,297
benign prostatic hypertrophy,sweating increased,297
dehydration,syncope,297
dehydration,sensory discomfort,297
dehydration,anorexia,297
dehydration,mental status changes,297
neoplasm,lesion,297
dehydration,blackout,297
neoplasm,mass of body structure,297
neoplasm,night sweat,297
neoplasm,tumor cell invasion,297
neoplasm,pain chest,297
neoplasm,hematuria,297
dehydration,fever,297
dehydration,nausea,297
dehydration,lightheadedness,297
dehydration,lethargy,297
neoplasm,metastatic lesion,297
neoplasm,pain,297
neoplasm,anosmia,297
neoplasm,food intolerance,297
neoplasm,decreased body weight,297
neoplasm,thicken,297
dehydration,history of - blackout,297
dehydration,dizziness,297
dehydration,diarrhea,297
dehydration,vomiting,297
neoplasm,headache,297
neoplasm,pain abdominal,297
neoplasm,satiety early,297
neoplasm,hemianopsia homonymous,297
embolism pulmonary,decreased translucency,296
deep vein thrombosis,distress respiratory,295
suicide attempt,blackout,295
malignant neoplasm of prostate,hypesthesia,295
embolism pulmonary,cicatrisation,294
bipolar disorder,pain abdominal,294
exanthema,wheezing,294
embolism pulmonary,productive cough,294
embolism pulmonary,yellow sputum,294
embolism pulmonary,neck stiffness,294
embolism pulmonary,hematocrit decreased,294
embolism pulmonary,non-productive cough,294
embolism pulmonary,apyrexial,294
embolism pulmonary,wheezing,294
incontinence,rhd positive,294
embolism pulmonary,pain chest,294
embolism pulmonary,unresponsiveness,294
embolism pulmonary,distress respiratory,294
embolism pulmonary,hypoxemia,294
embolism pulmonary,shortness of breath,294
embolism pulmonary,tachypnea,294
carcinoma prostate,jugular venous distention,294
hemiparesis,headache,293
hyperlipidemia,suicidal,293
carcinoma prostate,hypotonic,292
malignant neoplasm of prostate,haemorrhage,292
osteoporosis,hemodynamically stable,292
bronchitis,weight gain,292
cellulitis,painful swallowing,291
bipolar disorder,blackout,291
epilepsy,unresponsiveness,290
bipolar disorder,gag,290
epilepsy,tremor,290
stenosis aortic valve,pallor,290
incontinence,hypokinesia,290
psychotic disorder,dyspnea,290
sepsis (invertebrate),ascites,290
epilepsy,seizure,290
epilepsy,gurgle,290
epilepsy,myoclonus,290
epilepsy,hemiplegia,290
epilepsy,sleepy,290
epilepsy,hypometabolism,290
epilepsy,aura,290
embolism pulmonary,headache,290
epilepsy,wheelchair bound,290
epilepsy,lethargy,290
epilepsy,drowsiness,290
deep vein thrombosis,tremor,289
upper respiratory infection,agitation,288
adenocarcinoma,apyrexial,287
bacteremia,hypotension,287
transient ischemic attack,metastatic lesion,286
edema pulmonary,enuresis,286
osteomyelitis,t wave inverted,285
bipolar disorder,pruritus,285
dehydration,abdominal tenderness,285
malignant neoplasm of breast,fever,284
osteoporosis,hypotonic,284
systemic infection,nausea,284
cardiomyopathy,weight gain,283
gastroesophageal reflux disease,dyspnea,283
cardiomyopathy,fatigue,283
cardiomyopathy,rale,283
cardiomyopathy,patient non compliance,283
cardiomyopathy,pain chest,283
cardiomyopathy,yellow sputum,283
cardiomyopathy,syncope,283
cardiomyopathy,dyspnea on exertion,283
cardiomyopathy,dyspnea,283
cardiomyopathy,shortness of breath,283
cardiomyopathy,leftÂ atrialÂ hypertrophy,283
cardiomyopathy,palpitation,283
cardiomyopathy,jugular venous distention,283
cardiomyopathy,hypokinesia,283
cardiomyopathy,orthopnea,283
carcinoma prostate,sleepy,282
primary malignant neoplasm,rale,282
psychotic disorder,nausea,282
hepatitis C,hyperkalemia,282
cardiomyopathy,sweat,282
osteoporosis,drowsiness,282
cellulitis,renal angle tenderness,281
osteoporosis,hyperkalemia,281
hyperlipidemia,painful swallowing,281
sepsis (invertebrate),blackout,281
osteoporosis,headache,281
chronic kidney failure,guaiac positive,280
chronic kidney failure,swelling,280
chronic kidney failure,rale,280
bacteremia,pain,280
chronic kidney failure,chest tightness,280
chronic kidney failure,malaise,280
schizophrenia,sleeplessness,280
chronic kidney failure,hyperkalemia,280
hypoglycemia,haemoptysis,280
chronic kidney failure,pleuritic pain,280
chronic kidney failure,unresponsiveness,280
chronic kidney failure,catatonia,280
chronic kidney failure,apyrexial,280
chronic kidney failure,vomiting,280
chronic kidney failure,yellow sputum,280
chronic kidney failure,fever,280
chronic kidney failure,mental status changes,280
chronic kidney failure,jugular venous distention,280
chronic kidney failure,oliguria,280
chronic kidney failure,nausea,280
chronic kidney failure,diarrhea,280
chronic kidney failure,orthopnea,280
benign prostatic hypertrophy,intoxication,279
neoplasm,hyponatremia,279
hepatitis C,irritable mood,279
transient ischemic attack,abdominal tenderness,278
carcinoma breast,verbal auditory hallucinations,278
mitral valve insufficiency,vertigo,278
paroxysmalÂ dyspnea,sleepy,277
embolism pulmonary,hypotension,277
deep vein thrombosis,mass of body structure,277
ischemia,satiety early,276
carcinoma,general unsteadiness,276
carcinoma prostate,guaiac positive,275
embolism pulmonary,orthostasis,274
systemic infection,paresthesia,274
malignant neoplasm of prostate,splenomegaly,274
osteoporosis,abdominal tenderness,273
deep vein thrombosis,hyperkalemia,273
transient ischemic attack,suicidal,273
chronic kidney failure,unsteady gait,271
thrombocytopaenia,breath sounds decreased,271
carcinoma,gravida 0,269
carcinoma,diarrhea,269
carcinoma,lung nodule,269
carcinoma,heartburn,269
carcinoma,sore to touch,269
schizophrenia,nightmare,269
carcinoma,thicken,269
carcinoma,hoarseness,269
carcinoma,decreased body weight,269
carcinoma,metastatic lesion,269
carcinoma,general discomfort,269
carcinoma,non-productive cough,269
carcinoma,constipation,269
carcinoma,unhappy,269
carcinoma,paresthesia,269
hepatitis C,chill,269
hepatitis C,hallucinations auditory,269
hepatitis C,patient non compliance,269
hepatitis C,heavy feeling,269
hepatitis C,ache,269
hepatitis C,macerated skin,269
hernia,feeling hopeless,269
carcinoma,lesion,269
carcinoma,pain,269
carcinoma,mass of body structure,269
hepatitis C,distended abdomen,269
hepatitis C,ascites,269
hepatitis C,feeling suicidal,269
embolism pulmonary,irritable mood,269
peripheral vascular disease,sinus rhythm,268
peripheral vascular disease,labored breathing,268
peripheral vascular disease,unresponsiveness,268
peripheral vascular disease,angina pectoris,268
incontinence,sweating increased,268
peripheral vascular disease,sleepy,268
peripheral vascular disease,anorexia,268
peripheral vascular disease,rest pain,268
peripheral vascular disease,shortness of breath,268
peripheral vascular disease,hyperkalemia,268
carcinoma,egophony,268
obesity,fever,268
peripheral vascular disease,dyspnea,268
psychotic disorder,hallucinations auditory,267
psychotic disorder,suicidal,267
psychotic disorder,verbal auditory hallucinations,267
hemiparesis,shortness of breath,267
psychotic disorder,behavior hyperactive,267
psychotic disorder,tremor,267
psychotic disorder,feeling suicidal,267
psychotic disorder,hallucinations visual,267
psychotic disorder,energy increased,267
psychotic disorder,intoxication,267
psychotic disorder,worry,267
psychotic disorder,homelessness,267
psychotic disorder,withdraw,267
psychotic disorder,weepiness,267
psychotic disorder,irritable mood,267
psychotic disorder,feeling hopeless,267
psychotic disorder,agitation,267
psychotic disorder,blackout,267
psychotic disorder,mood depressed,267
paranoia,dyspnea on exertion,267
psychotic disorder,consciousness clear,267
psychotic disorder,sleeplessness,267
psychotic disorder,catatonia,267
psychotic disorder,nightmare,267
psychotic disorder,terrify,267
psychotic disorder,motor retardation,267
psychotic disorder,patient non compliance,267
upper respiratory infection,nausea,266
cirrhosis,sore to touch,266
sepsis (invertebrate),withdraw,266
hepatitis C,homelessness,266
bipolar disorder,disturbed family,265
bacteremia,pain abdominal,265
arthritis,anorexia,265
malignant neoplasm of prostate,anorexia,264
bronchitis,wheezing,264
bacteremia,dysarthria,264
pancreatitis,non-productive cough,264
kidney failure acute,stiffness,263
hemiparesis,tired,263
carcinoma prostate,shortness of breath,263
hyperlipidemia,mass in breast,262
ischemia,pain abdominal,262
carcinoma,sweating increased,262
hernia,chill,262
psychotic disorder,orthopnea,262
bronchitis,difficulty,262
ischemia,apyrexial,261
ulcer peptic,agitation,261
peripheral vascular disease,unsteady gait,261
lymphatic diseases,abscess bacterial,261
lymphatic diseases,apyrexial,261
mitral valve insufficiency,muscle hypotonia,260
edema pulmonary,Stahli's line,260
diverticulitis,cicatrisation,259
thrombocytopaenia,blackout,259
upper respiratory infection,lethargy,259
edema pulmonary,hyponatremia,259
parkinson disease,neologism,259
deep vein thrombosis,projectile vomiting,258
chronic kidney failure,bowel sounds decreased,257
kidney failure acute,fatigue,257
obesity,cachexia,257
carcinoma,fever,257
paroxysmalÂ dyspnea,speech slurred,257
bronchitis,cyanosis,256
transient ischemic attack,low back pain,256
epilepsy,distress respiratory,256
osteoporosis,sweat,256
bronchitis,superimposition,255
diverticulitis,urgency ofÂ micturition,255
hemiparesis,sleepy,255
thrombocytopaenia,night sweat,255
carcinoma prostate,paresis,254
lymphatic diseases,non-productive cough,254
hernia,mood depressed,254
bipolar disorder,mass of body structure,253
chronic kidney failure,wheelchair bound,253
carcinoma,dullness,253
bipolar disorder,nervousness,253
hepatitis C,seizure,252
bronchitis,shortness of breath,252
psychotic disorder,mental status changes,252
adenocarcinoma,pain chest,252
epilepsy,worry,252
obesity,pruritus,252
encephalopathy,mass of body structure,252
bronchitis,diarrhea,250
hypertension pulmonary,nightmare,250
diverticulosis,myalgia,250
osteomyelitis,vertigo,249
cirrhosis,leftÂ atrialÂ hypertrophy,249
ulcer peptic,productive cough,249
gastroesophageal reflux disease,angina pectoris,249
malignant neoplasm of breast,pneumatouria,249
osteoporosis,feces in rectum,248
failure kidney,tinnitus,248
failure kidney,rale,248
ischemia,oliguria,248
hyperlipidemia,giddy mood,247
hyperlipidemia,angina pectoris,247
hyperlipidemia,dizziness,247
hyperlipidemia,sweat,247
hyperlipidemia,photopsia,247
hyperlipidemia,presence of q wave,247
hyperlipidemia,sweating increased,247
hyperlipidemia,palpitation,247
hyperlipidemia,hypokinesia,247
hyperlipidemia,hemiplegia,247
hyperlipidemia,shortness of breath,247
peripheral vascular disease,formication,247
hyperlipidemia,pain chest,247
peripheral vascular disease,green sputum,247
hyperlipidemia,chest discomfort,247
hemiparesis,transsexual,246
neoplasm,feeling hopeless,246
hemiparesis,haemoptysis,246
transient ischemic attack,thicken,246
osteoporosis,fatigue,246
lymphatic diseases,diarrhea,246
hepatitis,abdomen acute,245
arthritis,lethargy,245
chronic kidney failure,frail,245
failure kidney,renal angle tenderness,245
schizophrenia,tachypnea,245
cirrhosis,mass of body structure,245
diverticulitis,tachypnea,244
failure kidney,wheezing,244
lymphatic diseases,mass of body structure,243
adenocarcinoma,dizziness,243
hyperlipidemia,egophony,243
schizophrenia,photophobia,242
bipolar disorder,energy increased,241
bipolar disorder,behavior hyperactive,241
bipolar disorder,catatonia,241
bipolar disorder,feeling suicidal,241
bipolar disorder,intoxication,241
bipolar disorder,hallucinations auditory,241
bipolar disorder,verbal auditory hallucinations,241
bipolar disorder,mydriasis,241
bipolar disorder,weepiness,241
bipolar disorder,extrapyramidal sign,241
bipolar disorder,loose associations,241
bipolar disorder,irritable mood,241
bipolar disorder,agitation,241
bipolar disorder,sleeplessness,241
bipolar disorder,worry,241
bipolar disorder,feeling hopeless,241
bipolar disorder,hallucinations visual,241
bipolar disorder,difficulty,241
bipolar disorder,suicidal,241
psychotic disorder,photophobia,241
bronchitis,sleeplessness,241
bipolar disorder,motor retardation,241
bipolar disorder,homelessness,241
bipolar disorder,tremor,241
bipolar disorder,exhaustion,241
bipolar disorder,has religious belief,241
bipolar disorder,hyperhidrosis disorder,241
bipolar disorder,hypersomnia,241
hernia,pain,240
acquiredÂ immuno-deficiency syndrome,unconscious state,240
psychotic disorder,polydypsia,240
cellulitis,dyspnea on exertion,239
adenocarcinoma,pleuritic pain,239
osteomyelitis,asthenia,239
sepsis (invertebrate),poor dentition,238
hepatitis,snore,238
hemiparesis,cushingoidÂ habitus,237
arthritis,metastatic lesion,236
hiv infections,chest discomfort,236
gastritis,blackout,236
bronchitis,chest tightness,236
schizophrenia,adverse reaction,236
diverticulitis,ascites,235
paroxysmalÂ dyspnea,adverse effect,235
adenocarcinoma,productive cough,234
arthritis,fever,234
malignant neoplasm of breast,hallucinations visual,233
psychotic disorder,bradycardia,232
hypoglycemia,chill,232
adenocarcinoma,passed stones,232
paroxysmalÂ dyspnea,tremor,232
benign prostatic hypertrophy,orthopnea,231
peripheral vascular disease,nasal discharge present,231
kidney failure acute,hunger,230
benign prostatic hypertrophy,hematuria,230
carcinoma prostate,debilitation,230
epilepsy,pruritus,230
malignant neoplasm of prostate,vomiting,230
ischemia,cushingoidÂ habitus,230
edema pulmonary,pain,230
obesity,stiffness,229
hemiparesis,energy increased,229
cardiomyopathy,mass of body structure,229
incontinence,achalasia,229
obesity,shortness of breath,228
obesity,r wave feature,228
obesity,has religious belief,228
carcinoma,nausea and vomiting,228
obesity,tired,228
lymphatic diseases,photophobia,228
obesity,fatigue,228
obesity,pain chest,228
obesity,ecchymosis,228
obesity,mood depressed,228
obesity,systolic murmur,228
obesity,overweight,228
obesity,snore,228
obesity,catatonia,228
epilepsy,patient non compliance,228
psychotic disorder,tumor cell invasion,228
carcinoma,urinoma,227
pneumonia aspiration,asterixis,227
ischemia,rale,226
ischemia,sweating increased,226
ischemia,sinus rhythm,226
ischemia,bradycardia,226
ischemia,sweat,226
ischemia,drowsiness,226
obesity,bradycardia,226
ischemia,sleepy,226
ischemia,pain chest,226
ischemia,chest discomfort,226
ischemia,pressure chest,226
ischemia,angina pectoris,226
ischemia,dyspnea,226
deglutition disorder,lesion,226
ischemia,asymptomatic,226
ischemia,anorexia,226
bacteremia,tremor,226
hernia,productive cough,225
transient ischemic attack,malaise,225
pancreatitis,hyponatremia,225
carcinoma prostate,feeling suicidal,224
carcinoma prostate,headache,224
overload fluid,shortness of breath,224
gastritis,decreased body weight,224
hyperlipidemia,patient non compliance,224
peripheral vascular disease,cushingoid facies,223
hypertension pulmonary,chest tightness,223
schizophrenia,hallucinations visual,222
lymphatic diseases,rale,222
upper respiratory infection,unresponsiveness,221
malignant neoplasm of breast,polymyalgia,221
carcinoma prostate,macule,221
psychotic disorder,pruritus,220
embolism pulmonary,incoherent,220
sepsis (invertebrate),gravida 0,220
ischemia,presence of q wave,219
sickle cell anemia,cardiovascular finding,219
bipolar disorder,abdominal bloating,219
carcinoma prostate,panic,219
lymphatic diseases,asthenia,219
pancreatitis,wheezing,219
cirrhosis,pruritus,218
cardiomyopathy,pain,218
cirrhosis,hemodynamically stable,218
cirrhosis,bleeding of vagina,218
cirrhosis,elation,218
cirrhosis,fall,218
cirrhosis,tumor cell invasion,218
cirrhosis,distended abdomen,218
cirrhosis,lesion,218
cirrhosis,guaiac positive,218
cirrhosis,pain abdominal,218
cirrhosis,splenomegaly,218
cirrhosis,ascites,218
hernia,hyperkalemia,217
lymphoma,cachexia,217
hernia,sleepy,217
suicide attempt,para 2,216
hemiparesis,chill,216
ischemia,pruritus,216
edema pulmonary,unresponsiveness,216
carcinoma,facial paresis,216
diverticulitis,bradycardia,215
malignant tumor of colon,hypokinesia,215
sepsis (invertebrate),pain abdominal,215
sickle cell anemia,dyspnea,215
kidney failure acute,dizzy spells,215
obesity,tonic seizures,215
bipolar disorder,decreased body weight,215
paroxysmalÂ dyspnea,drowsiness,214
ischemia,sensory discomfort,213
diverticulosis,homelessness,213
cirrhosis,non-productive cough,212
upper respiratory infection,dullness,212
bacteremia,angina pectoris,212
malignant neoplasm of prostate,erythema,212
benign prostatic hypertrophy,suicidal,211
exanthema,ascites,211
kidney failure acute,blackout,211
systemic infection,mass of body structure,211
incontinence,lethargy,210
obesity,verbal auditory hallucinations,210
oralÂ candidiasis,nausea,210
hernia,transaminitis,210
edema pulmonary,decreased translucency,209
stenosis aortic valve,tremor,209
carcinoma prostate,night sweat,209
ulcer peptic,urge incontinence,209
transient ischemic attack,patient non compliance,209
benign prostatic hypertrophy,decreased body weight,209
exanthema,painful swallowing,208
exanthema,scratch marks,208
exanthema,pain,208
exanthema,apyrexial,208
exanthema,chill,208
exanthema,photophobia,208
exanthema,fever,208
exanthema,lesion,208
exanthema,macule,208
exanthema,pruritus,208
transient ischemic attack,feeling suicidal,208
exanthema,arthralgia,208
exanthema,erythema,208
exanthema,swelling,208
exanthema,redness,208
exanthema,headache,208
hyperlipidemia,pericardial friction rub,208
carcinoma prostate,transaminitis,207
schizophrenia,dyspnea,207
malignant neoplasm of breast,hyperkalemia,206
sickle cell anemia,muscle twitch,206
bronchitis,mental status changes,206
edema pulmonary,sensory discomfort,206
gastritis,hoarseness,205
osteomyelitis,frothy sputum,205
bacteremia,syncope,205
hepatitis,diarrhea,205
candidiasis,sore to touch,205
carcinoma colon,spasm,204
upper respiratory infection,muscle twitch,204
upper respiratory infection,tachypnea,204
gastritis,sleepy,204
cellulitis,lesion,203
lymphoma,withdraw,203
carcinoma prostate,vertigo,203
encephalopathy,nausea,202
edema pulmonary,pansystolic murmur,202
arthritis,irritable mood,202
PneumocystisÂ cariniiÂ pneumonia,chest tightness,202
schizophrenia,worry,202
malignant neoplasm of prostate,mediastinal shift,201
paroxysmalÂ dyspnea,worry,201
carcinoma colon,pain chest,201
stenosis aortic valve,shortness of breath,201
failure kidney,energy increased,201
sickle cell anemia,rale,200
kidney failure acute,pain chest,200
exanthema,prostatism,200
lymphatic diseases,thicken,200
lymphatic diseases,lesion,200
carcinoma prostate,redness,200
candidiasis,seizure,199
personality disorder,worry,199
failure heart,vomiting,199
adenocarcinoma,bedridden,199
carcinoma prostate,ascites,198
carcinoma breast,monoclonal,198
incontinence,polyuria,198
diverticulitis,orthopnea,198
neoplasm,swelling,198
mitral valve insufficiency,motor retardation,197
mitral valve insufficiency,hyperkalemia,197
edema pulmonary,hemodynamically stable,197
parkinson disease,productive cough,197
arthritis,hacking cough,196
cirrhosis,night sweat,196
oralÂ candidiasis,seizure,196
carcinoma,orthostasis,196
paranoia,difficulty,196
osteomyelitis,syncope,196
hyperlipidemia,fever,196
gastritis,shortness of breath,196
hepatitis,hyperkalemia,196
lymphoma,unhappy,195
hypertension pulmonary,pain back,195
pancreatitis,neologism,195
peripheral vascular disease,shooting pain,195
gout,unresponsiveness,194
hypothyroidism,painful swallowing,194
obesity,rale,194
oralÂ candidiasis,tachypnea,194
parkinson disease,mass of body structure,193
gastritis,pain,193
malignant neoplasm of breast,irritable mood,193
sickle cell anemia,pain abdominal,193
hepatitis B,yellow sputum,193
carcinoma prostate,lung nodule,192
benign prostatic hypertrophy,dysarthria,192
benign prostatic hypertrophy,orthostasis,192
benign prostatic hypertrophy,distress respiratory,192
benign prostatic hypertrophy,night sweat,192
bronchitis,cough,192
benign prostatic hypertrophy,mental status changes,192
benign prostatic hypertrophy,cachexia,192
benign prostatic hypertrophy,blackout,192
suicide attempt,fever,191
pancreatitis,lesion,191
neoplasm metastasis,paraparesis,191
upper respiratory infection,hallucinations auditory,191
overload fluid,decreased stool caliber,191
ulcer peptic,paraparesis,190
carcinoma prostate,angina pectoris,190
kidney failure acute,unresponsiveness,190
thrombocytopaenia,fatigue,189
neoplasm metastasis,sensory discomfort,189
chronic kidney failure,hemiplegia,189
mitral valve insufficiency,frail,189
hepatitis,lesion,189
colitis,underweight,188
cardiomyopathy,enuresis,188
cirrhosis,asterixis,188
schizophrenia,splenomegaly,188
manic disorder,asthenia,187
gastritis,alcohol binge episode,187
stenosis aortic valve,non-productive cough,187
hepatitis B,distress respiratory,187
malignant neoplasm of prostate,ache,186
mitral valve insufficiency,pain,186
mitral valve insufficiency,syncope,186
mitral valve insufficiency,fatigue,186
mitral valve insufficiency,palpitation,186
mitral valve insufficiency,leftÂ atrialÂ hypertrophy,186
mitral valve insufficiency,vomiting,186
mitral valve insufficiency,cardiomegaly,186
kidney failure acute,"hypothermia, natural",186
kidney failure acute,hemodynamically stable,186
overload fluid,angina pectoris,186
mitral valve insufficiency,hypokinesia,186
mitral valve insufficiency,asymptomatic,186
mitral valve insufficiency,dyspnea on exertion,186
kidney failure acute,diarrhea,186
kidney failure acute,hypocalcemia result,186
kidney failure acute,hypotension,186
mitral valve insufficiency,dyspnea,186
kidney failure acute,oliguria,186
kidney failure acute,hyperkalemia,186
mitral valve insufficiency,chest discomfort,186
mitral valve insufficiency,thicken,186
colitis,systolic murmur,186
kidney failure acute,haemorrhage,186
mitral valve insufficiency,shortness of breath,186
diverticulosis,mass of body structure,186
thrombocytopaenia,aphagia,186
upper respiratory infection,green sputum,185
edema pulmonary,breath sounds decreased,185
pneumonia aspiration,hallucinations auditory,185
tonic-clonic epilepsy,chill,184
carcinoma breast,palpitation,184
lymphatic diseases,urinary hesitation,184
neuropathy,systolic murmur,184
schizophrenia,hematuria,183
hypertension pulmonary,cyanosis,183
chronic kidney failure,sleepy,183
pneumonia aspiration,irritable mood,182
parkinson disease,swelling,182
overload fluid,mass of body structure,182
hypoglycemia,nausea,181
lymphatic diseases,patient non compliance,181
mitral valve insufficiency,night sweat,181
hemiparesis,rale,181
bronchitis,speech slurred,181
lymphatic diseases,energy increased,181
hernia,motor retardation,181
thrombocytopaenia,non-productive cough,180
pancreatitis,prostate tender,180
bacteremia,headache,180
osteomyelitis,pain abdominal,180
paranoia,productive cough,179
arthritis,hemodynamically stable,179
gout,mass of body structure,179
arthritis,sleeplessness,179
arthritis,pain,179
arthritis,distended abdomen,179
hypoglycemia,worry,179
bacteremia,estrogen use,179
upper respiratory infection,irritable mood,179
